i) 	0.98	0.99	0.99	0.99	0.1132075471698113
v) 	0.3515151515151515	0.5153374233128835	0.4968944099378882	0.490566037735849	0.0380952380952381
iv) 	0.2857142857142857	0.3404255319148936	0.4155844155844156	0.3571428571428571	0.0747663551401869
iii) 	0.3377777777777778	0.3906976744186046	0.4292237442922374	0.4245283018867924	
ii) 	0.3855421686746988	0.4096385542168674	0.6385542168674698	0.6144578313253012	0.0560747663551401
i) 	0.99	0.98	0.98	0.97	0.1296296296296296
v) 	0.2625	0.4	0.4528301886792453	0.4387096774193548	0.0747663551401869
iv) 	0.3647798742138364	0.3971631205673759	0.4810126582278481	0.4539007092198581	
iii) 	0.3363636363636363	0.411214953271028	0.423963133640553	0.4579439252336448	0.0512820512820512
ii) 	0.3734939759036144	0.3855421686746988	0.5542168674698795	0.5421686746987951	0.0373831775700934
i) 	0.98	0.98	0.98	0.98	0.1481481481481481
v) 	0.3105590062111801	0.4654088050314465	0.5157232704402516	0.5063291139240507	0.0925925925925925
iv) 	0.3726708074534161	0.3880597014925373	0.4076433121019108	0.4029850746268656	
iii) 	0.3318385650224215	0.3333333333333333	0.4414414414414414	0.3849765258215962	0.0512820512820512
ii) 	0.3855421686746988	0.4216867469879518	0.6385542168674698	0.6385542168674698	0.1121495327102803
i) 	0.98	1.0	1.0	1.0	0.1481481481481481
v) 	0.2641509433962264	0.4150943396226415	0.4150943396226415	0.4276729559748428	0.0560747663551401
iv) 	0.4150943396226415	0.3358778625954198	0.445859872611465	0.3358778625954198	0.0747663551401869
iii) 	0.358744394618834	0.431924882629108	0.4678899082568807	0.4114832535885167	0.0754716981132075
ii) 	0.3734939759036144	0.3975903614457831	0.5783132530120482	0.5542168674698795	0.0560747663551401
i) 	0.98	0.99	0.98	0.99	0.1308411214953271
v) 	0.3536585365853658	0.5	0.4585987261146497	0.4935064935064935	0.0560747663551401
iv) 	0.3602484472049689	0.4113475177304964	0.5032258064516129	0.4142857142857143	0.0727272727272727
iii) 	0.3693693693693693	0.4380952380952381	0.4351851851851852	0.4114832535885167	0.0509554140127388
ii) 	0.3734939759036144	0.3734939759036144	0.5301204819277109	0.5301204819277109	0.0373831775700934
